stimulus_id,word_position,word,word_clean,length,length_prev,length_prevprev,frequency,frequency_prev,frequency_prevprev,total_fixation_duration,skip_rate,surprisal_first3chars,surprisal_word,surprisal_word_prev,surprisal_word_prevprev
57,11,an,an,2.0,9.0,4.0,6.53,0.0,4.01,26.40625,0.84375,2.845244363176022,2.845244363176022,30.595946307708616,8.93258235002395
57,12,analyst,analyst,7.0,2.0,9.0,4.03,6.53,0.0,318.21875,0.25,2.8671865099913987,2.9022686188485665,2.845244363176022,30.595946307708616
57,13,at,at,2.0,7.0,2.0,6.7,4.03,6.53,60.34375,0.84375,0.4687534602989842,0.4687534602989842,2.9022686188485665,2.845244363176022
57,14,Salomon,salomon,7.0,2.0,7.0,2.91,6.7,4.03,476.875,0.0625,8.04667873815086,10.992447855342135,0.4687534602989842,2.9022686188485665
57,15,Bros.,bros,4.0,7.0,2.0,4.08,2.91,6.7,69.75,0.6875,1.3174255612493369,7.085438518707832,10.992447855342135,0.4687534602989842
58,0,Competition,competition,11.0,0.0,0.0,4.91,0.0,0.0,655.1875,0.0,5.977639769831575,10.89536745162913,0.0,0.0
58,1,is,is,2.0,11.0,0.0,7.07,4.91,0.0,35.625,0.9375,2.4940614424136704,2.4940614424136704,10.89536745162913,0.0
58,2,bound,bound,5.0,2.0,11.0,4.46,7.07,4.91,326.75,0.0625,6.679346318238952,6.740251490328003,2.4940614424136704,10.89536745162913
58,3,to,to,2.0,5.0,2.0,7.43,4.46,7.07,94.65625,0.71875,0.0530143231869288,0.0530143231869288,6.740251490328003,2.4940614424136704
58,4,get,get,3.0,2.0,5.0,6.28,7.43,4.46,154.75,0.46875,3.2811801554314144,3.282622869652414,0.0530143231869288,6.740251490328003
58,5,tougher,tougher,7.0,3.0,2.0,3.66,6.28,7.43,363.40625,0.15625,1.955111754591201,2.543581312717677,3.282622869652414,0.0530143231869288
58,6,if,if,2.0,7.0,3.0,6.47,3.66,6.28,87.5625,0.6875,4.401462619792106,4.401462619792106,2.543581312717677,3.282622869652414
58,7,Kao,kao,3.0,2.0,7.0,2.65,6.47,3.66,397.625,0.25,13.180139438429222,14.985875204241664,4.401462619792106,2.543581312717677
58,8,introduces,introduces,10.0,3.0,2.0,3.8,2.65,6.47,473.53125,0.0625,7.403098395155077,9.980318984736035,14.985875204241664,4.401462619792106
58,9,a,a,1.0,10.0,3.0,7.36,3.8,2.65,38.21875,0.875,4.5388806401981725,1.6024250237135504,9.980318984736035,14.985875204241664
58,10,product,product,7.0,1.0,10.0,4.95,7.36,3.8,368.5,0.1875,4.537229718666659,6.867786895231468,1.6024250237135504,9.980318984736035
58,11,like,like,4.0,7.0,1.0,6.41,4.95,7.36,240.25,0.46875,3.021314907195766,3.0262211912747787,6.867786895231468,1.6024250237135504
58,12,Attack,attack,6.0,4.0,7.0,5.09,6.41,4.95,428.28125,0.03125,9.43923868466267,10.666098713639729,3.0262211912747787,6.867786895231468
58,13,in,in,2.0,6.0,4.0,7.27,5.09,6.41,114.21875,0.75,4.696021692995686,4.696021692995686,10.666098713639729,3.0262211912747787
58,14,the,the,3.0,2.0,6.0,7.73,7.27,5.09,258.25,0.25,1.125042199750368,1.139829380414099,4.696021692995686,10.666098713639729
58,15,U.S.,us,2.0,3.0,2.0,5.31,7.73,7.27,125.65625,0.5,5.684829960547205,5.698621293823777,1.139829380414099,4.696021692995686
59,0,It,it,2.0,0.0,0.0,6.95,0.0,0.0,198.71875,0.09375,5.227143642784391,5.227143642784391,0.0,0.0
59,1,also,also,4.0,2.0,0.0,6.19,6.95,0.0,346.625,0.59375,5.290198326385829,5.293676431082204,5.227143642784391,0.0
59,2,has,has,3.0,4.0,2.0,6.37,6.19,6.95,278.59375,0.5625,3.465213831400753,3.5002102204040586,5.293676431082204,5.227143642784391
59,3,a,a,1.0,3.0,4.0,7.36,6.37,6.19,95.6875,0.71875,4.200802191789236,1.4859325958891088,3.5002102204040586,5.293676431082204
59,4,product-testing,product-testing,15.0,1.0,3.0,4.49,7.36,6.37,805.0625,0.0,4.647159245761179,18.336537578293186,1.4859325958891088,3.5002102204040586
59,5,facility,facility,8.0,15.0,1.0,4.6,4.49,7.36,420.28125,0.03125,3.615335730865226,3.9831467286536792,18.336537578293186,1.4859325958891088
59,6,in,in,2.0,8.0,15.0,7.27,4.6,4.49,99.21875,0.8125,1.4018545317506508,1.4018545317506508,3.9831467286536792,18.336537578293186
